,,15,22,29,36,43,50,57
E01020182,South Hams 003C,#,#,#,#,#,#,#
E01020183,South Hams 003D,#,#,#,#,#,#,#
E01020184,South Hams 003E,#,#,#,#,#,#,#
E01020185,South Hams 009B,#,#,#,#,#,#,#
E01020186,South Hams 009C,#,#,#,#,#,#,#
E01020187,South Hams 009D,#,#,96.84292078,114.3728555,151.4291122,#,94.46438693
E01020188,South Hams 004D,#,#,#,#,#,#,#
E01020189,South Hams 010C,#,82.02099738,82.16926869,82.25037013,#,#,#
E01020190,South Hams 008D,84.33125316,116.1440186,114.9991786,81.92692119,#,#,93.94081729
E01020191,Teignbridge 013A,#,#,#,#,#,#,#
E01020192,Teignbridge 019A,#,#,#,#,#,#,#
E01020193,Teignbridge 019B,#,#,#,#,#,#,#
E01020194,Teignbridge 013B,#,#,#,#,#,#,#
E01020195,Teignbridge 017A,133.4095674,152.0912548,#,#,#,#,#
E01020196,Teignbridge 017B,#,#,#,#,#,#,#
E01020197,Teignbridge 017C,#,#,158.061117,#,#,#,#
E01020198,Teignbridge 017D,#,#,#,#,#,#,#
E01020199,Teignbridge 017E,#,#,#,#,#,#,#
E01020200,Teignbridge 011A,#,#,#,#,#,#,#
E01020201,Teignbridge 011B,158.0849142,#,#,#,#,#,108.6720278
E01020202,Teignbridge 007A,170.1765582,#,128.8936627,#,#,#,#
E01020203,Teignbridge 004A,#,#,#,#,#,#,#
E01020204,Teignbridge 007B,#,#,#,#,#,#,#
E01020205,Teignbridge 003A,#,#,#,#,#,#,#
E01020206,Teignbridge 004B,#,#,#,#,#,#,#
E01020207,Teignbridge 013C,#,138.6193513,141.0835214,#,#,#,#
E01020208,Teignbridge 012A,#,#,#,#,#,#,#
E01020209,Teignbridge 012B,#,#,#,#,#,#,#
E01020210,Teignbridge 012C,#,#,#,#,#,#,#
E01020211,Teignbridge 014A,#,#,#,#,#,#,#
E01020212,Teignbridge 016A,#,#,#,#,#,#,#
E01020213,Teignbridge 016B,#,#,#,#,#,#,#
E01020214,Teignbridge 016C,#,#,#,#,#,#,#
E01020215,Teignbridge 016D,#,#,#,#,#,#,#
E01020216,Teignbridge 015A,#,#,#,#,#,#,#
E01020217,Teignbridge 014B,#,100.2606778,119.0240032,119.7365795,#,#,99.16699722
E01020218,Teignbridge 014C,#,#,#,#,#,#,#
E01020219,Teignbridge 012D,#,#,#,#,#,#,#
E01020220,Teignbridge 004C,#,122.6391955,141.8439716,160.5504587,#,#,#
E01020221,Teignbridge 004D,#,132.8777525,113.1861913,112.0029867,#,93.057882,148.9757914
E01020222,Teignbridge 004E,#,#,#,#,#,#,#
E01020223,Teignbridge 004F,#,#,#,#,#,#,#
E01020224,Teignbridge 014D,#,#,#,#,#,#,#
E01020225,Teignbridge 015B,#,#,#,#,#,#,#
E01020226,Teignbridge 015C,#,#,#,#,#,#,#
E01020227,Teignbridge 015D,#,#,#,#,#,#,111.4578689
E01020228,Teignbridge 006A,#,#,#,#,#,#,#
E01020229,Teignbridge 005A,#,#,#,#,#,#,#
E01020230,Teignbridge 005B,#,#,#,#,#,#,#
E01020231,Teignbridge 005C,#,#,#,#,#,#,#
E01020232,Teignbridge 005D,#,#,#,#,#,#,#
E01020233,Teignbridge 006B,#,#,#,#,#,#,#
E01020234,Teignbridge 006C,#,#,#,#,#,#,#
E01020235,Teignbridge 006D,#,#,#,#,#,#,#
E01020236,Teignbridge 007C,#,#,#,#,#,#,#
E01020237,Teignbridge 007D,#,#,#,#,#,105.9546514,126.9572577
E01020238,Teignbridge 019C,#,#,#,#,#,#,#
E01020239,Teignbridge 019D,#,#,#,#,#,184.0652117,236.5308804
E01020240,Teignbridge 002A,204.1649653,#,#,#,#,#,102.8806584
E01020241,Teignbridge 002B,210.0840336,152.0045601,228.1368821,171.624714,191.6443082,230.5918524,306.8661297
E01020242,Teignbridge 002C,#,#,165.5629139,159.1994542,123.8645747,#,#
E01020243,Teignbridge 001A,#,#,#,#,#,#,#
E01020244,Teignbridge 002D,#,#,#,#,#,#,#
E01020245,Teignbridge 002E,#,#,#,#,#,#,#
E01020246,Teignbridge 018A,#,#,#,#,#,#,#
E01020247,Teignbridge 018B,#,#,#,#,#,#,#
E01020248,Teignbridge 018C,124.300808,103.2631144,124.5588541,#,#,#,#
E01020249,Teignbridge 018D,148.1481481,#,#,#,#,#,#
E01020250,Teignbridge 009A,#,#,#,#,#,#,#
E01020251,Teignbridge 011C,114.8897059,#,#,#,#,#,#
E01020252,Teignbridge 009B,#,#,#,#,#,#,#
E01020253,Teignbridge 009C,#,#,#,#,#,#,#
E01020254,Teignbridge 009D,#,#,#,#,#,#,#
E01020255,Teignbridge 009E,#,#,#,#,#,#,#
E01020256,Teignbridge 013D,170.3577513,217.8649237,264.2960115,334.8481225,263.3468997,192.3076923,144.892538
E01020257,Teignbridge 009F,#,#,#,#,#,#,#
E01020258,Teignbridge 003B,#,#,#,#,#,#,#
E01020259,Teignbridge 003C,#,#,#,#,#,#,#
E01020260,Teignbridge 011D,#,#,#,#,#,#,#
E01020261,Teignbridge 011E,#,#,#,#,#,#,#
E01020262,Teignbridge 001B,#,132.310135,133.4044824,159.9147122,186.0217911,210.6926521,156.698877
E01020263,Teignbridge 001C,#,#,#,#,#,#,#
E01020264,Teignbridge 010A,#,#,#,#,#,#,#
E01020265,Teignbridge 008A,#,#,#,#,#,#,#
E01020266,Teignbridge 008B,#,#,#,#,#,#,#
E01020267,Teignbridge 008C,#,#,#,#,#,#,#
E01020268,Teignbridge 008D,#,#,#,#,#,#,#
E01020269,Teignbridge 010B,#,#,#,#,#,#,#
E01020270,Teignbridge 008E,#,#,#,#,#,#,#
E01020271,Teignbridge 010C,#,#,#,#,#,#,#
E01020272,Teignbridge 010D,#,#,#,#,#,#,#
E01020273,Teignbridge 003D,#,#,#,#,#,#,#
E01020274,Teignbridge 001D,#,#,#,#,#,#,#
E01020275,Torridge 001A,#,#,#,#,#,#,#
E01020276,Torridge 001B,#,#,#,#,#,#,#
E01020277,Torridge 004A,#,#,#,#,#,#,#
E01020278,Torridge 004B,#,#,#,#,#,#,#
E01020279,Torridge 004C,#,#,#,#,#,#,#
E01020280,Torridge 003A,#,#,#,#,#,#,#
E01020281,Torridge 003B,#,#,#,#,#,#,#
E01020282,Torridge 003C,#,#,#,#,#,#,102.207686
E01020283,Torridge 004D,#,#,#,#,#,#,#
E01020284,Torridge 004E,#,#,#,#,#,#,#
E01020285,Torridge 004F,#,#,#,#,#,#,#
E01020286,Torridge 009A,#,#,98.77518767,138.3399209,96.99321048,#,#
E01020287,Torridge 007A,#,#,#,#,#,126.7694908,166.8056714
E01020288,Torridge 005A,#,#,#,#,#,161.9433198,161.0305958
E01020289,Torridge 009B,#,#,#,#,129.5616498,128.7830006,106.8604403
E01020290,Torridge 009C,#,#,#,#,#,96.06147935,95.31071292
E01020291,Torridge 008A,#,#,#,#,#,#,#
E01020292,Torridge 005B,#,#,#,#,#,#,#
E01020293,Torridge 008B,#,#,#,91.33810321,152.4390244,137.0488808,106.7724222
E01020294,Torridge 008C,#,#,#,#,#,#,#
E01020295,Torridge 005C,119.4267516,98.38646202,116.5274811,#,#,98.07767752,98.7947046
E01020296,Torridge 005D,202.7940514,157.2680297,112.1076233,133.6005344,#,#,132.1585903
E01020297,Torridge 001C,#,#,#,#,#,#,#
E01020298,Torridge 002A,#,#,#,#,#,#,#
E01020299,Torridge 001D,#,#,#,#,#,#,#
E01020300,Torridge 002B,#,#,#,#,#,#,#
E01020301,Torridge 009D,#,#,#,#,#,#,#
E01020302,Torridge 008D,#,#,#,#,#,#,#
E01020303,Torridge 007B,#,#,#,#,#,#,#
E01020304,Torridge 006A,#,#,#,#,#,#,#
E01020305,Torridge 006B,#,#,#,#,#,#,#
E01020306,Torridge 006C,#,#,#,#,#,#,#
E01020307,Torridge 006D,#,#,#,#,#,#,#
E01020308,Torridge 007C,#,#,#,#,#,#,#
E01020309,Torridge 008E,#,#,#,#,#,#,#
E01020310,Torridge 002C,#,#,#,#,#,#,#
E01020311,Torridge 007D,#,80.19246191,96.04610213,95.87727709,#,#,#
E01020312,West Devon 007A,#,#,#,#,#,#,#
E01020313,West Devon 007B,#,#,#,#,#,#,#
E01020314,West Devon 004A,125.3656498,145.4394349,185.223297,163.6996112,163.0988787,181.2323802,238.5685885
E01020315,West Devon 007C,#,#,#,#,#,132.1003963,130.6620209
E01020316,West Devon 007D,#,#,#,#,91.77679883,91.86110601,164.2635517
E01020317,West Devon 006A,#,#,#,#,161.3274948,185.4857408,163.0941286
E01020318,West Devon 003A,#,#,#,#,#,#,#
E01020319,West Devon 003B,#,#,123.8901507,102.145046,101.3581999,#,141.4141414
E01020320,West Devon 001A,242.8658166,200.040008,#,#,#,#,#
E01020321,West Devon 001B,162.8664495,171.9556042,105.6125528,131.7715959,115.1079137,128.5163501,#
E01020322,West Devon 001C,208.4781098,204.2205582,231.2902693,80.11536613,125.588697,162.6256653,153.7171604
E01020323,West Devon 003C,#,#,#,78.60399308,108.6787766,171.446384,188.2057716
E01020324,West Devon 006B,#,#,#,#,131.1188811,199.5123033,133.7494427
E01020325,West Devon 004B,#,#,#,#,#,#,#
E01020326,West Devon 001D,#,#,#,#,#,#,114.1738705
E01020327,West Devon 002A,#,#,#,#,#,#,#
E01020328,West Devon 002B,#,#,#,#,#,#,#
E01020329,West Devon 002C,108.5069444,130.4064334,#,104.8657718,#,104.7339757,#
E01020330,West Devon 002D,#,#,#,#,#,#,#
E01020331,West Devon 004C,#,#,125.4442818,125.3132832,125.2871163,#,124.4555072
E01020332,West Devon 005A,#,#,#,#,#,#,#
E01020333,West Devon 005B,90.10632546,#,#,#,#,#,#
E01020334,West Devon 005C,#,#,#,#,#,#,#
E01020335,West Devon 005D,#,#,#,#,#,#,#
E01020336,West Devon 005E,#,#,#,#,#,#,#
E01020337,West Devon 005F,#,#,#,#,#,#,#
E01020338,West Devon 005G,#,#,#,#,#,#,82.97607523
E01020339,West Devon 003D,#,#,#,101.0509297,101.6466762,#,#
E01020340,West Devon 004D,99.82032342,#,#,#,#,#,#
E01020341,West Devon 006C,#,#,#,147.9289941,191.3672124,149.7005988,106.974754
E01020342,West Devon 006D,#,#,#,#,#,#,#
E01032628,East Devon 004G,#,#,#,127.8363694,174.5754642,125.5689845,#
E01032657,Plymouth 027F,,,,,,,
E01032658,Plymouth 027G,,,,,,,
E01033232,Exeter 011F,#,#,#,#,#,#,#
E01033233,Exeter 001F,#,#,30.09691206,32.82096165,39.31203931,28.60411899,33.63282564
E01033234,Exeter 011G,#,#,224.0645306,182.5233858,224.8201439,109.9384345,150.9922347
E01033235,Exeter 015E,#,#,#,#,#,#,#
E01033236,Exeter 015F,#,#,#,#,#,#,#
E07000040,East Devon,32.69305247,31.13106177,36.72273337,35.77382002,43.63571818,40.54585467,48.22418673
E07000041,Exeter,20.91211683,18.72152169,23.00012494,26.51705465,30.91443814,30.52731927,27.70857963
E07000042,Mid Devon,30.33218071,27.11916938,28.67389648,29.36907564,30.90561932,36.22913665,36.10138613
E07000043,North Devon,34.75282501,36.74437686,49.09005535,47.93217065,56.08186533,53.89000766,53.11558305
E07000044,South Hams,36.74121406,34.33860258,37.89752509,41.83100275,44.52306653,44.76523999,50.97847049
E07000045,Teignbridge,38.58458867,36.18517158,42.28556135,38.90304083,38.58575287,40.03307307,45.97295128
E07000046,Torridge,27.27310871,25.63619622,31.70445214,35.08681407,39.39626503,43.66102796,44.41124816
E07000047,West Devon,57.33403058,55.0660793,53.48291967,55.75068295,62.33105815,70.74136955,74.83285285
E10000008,Devon,33.62074274,31.93578801,37.1084127,37.71717256,42.03801343,42.89264515,45.68549001
E06000026,Plymouth,,,,,,,
E06000027,Torbay,,,,,,,
IMDQ1,Q1 - Most Deprived,23.02532786,24.81340321,28.55904829,35.18958388,38.72029427,46.00697772,40.03164406
IMDQ2,Q2 - Above Average,31.80352657,31.83084181,35.98335346,37.64164777,43.6526291,45.98792173,45.8435766
IMDQ3,Q3 - Average,42.18138829,40.25419626,47.49802436,47.63443039,53.45702355,55.05768237,59.94488289
IMDQ4,Q4 - Below Average,34.33670795,30.13683211,34.26442397,34.40995882,37.87898996,35.5391661,39.21910406
IMDQ5,Q5 - Least Deprived,19.90277795,19.07149085,23.52430241,22.44904068,22.52666149,22.71051467,26.79307502
E02003122,Plymouth 001,,,,,,,
E02003123,Plymouth 002,,,,,,,
E02003124,Plymouth 003,,,,,,,
E02003125,Plymouth 004,,,,,,,
E02003126,Plymouth 005,,,,,,,
E02003127,Plymouth 006,,,,,,,
E02003128,Plymouth 007,,,,,,,
E02003129,Plymouth 008,,,,,,,
E02003130,Plymouth 009,,,,,,,
E02003131,Plymouth 010,,,,,,,
E02003132,Plymouth 011,,,,,,,
E02003133,Plymouth 012,,,,,,,
E02003134,Plymouth 013,,,,,,,
E02003135,Plymouth 014,,,,,,,
E02003136,Plymouth 015,,,,,,,
E02003137,Plymouth 016,,,,,,,
E02003138,Plymouth 017,,,,,,,
E02003139,Plymouth 018,,,,,,,
E02003140,Plymouth 019,,,,,,,
E02003141,Plymouth 020,,,,,,,
E02003142,Plymouth 021,,,,,,,
E02003143,Plymouth 022,,,,,,,
E02003144,Plymouth 023,,,,,,,
E02003145,Plymouth 024,,,,,,,
E02003146,Plymouth 025,,,,,,,
E02003147,Plymouth 026,,,,,,,
E02003148,Plymouth 027,,,,,,,
E02003149,Plymouth 028,,,,,,,
E02003150,Plymouth 029,,,,,,,
E02003151,Plymouth 030,,,,,,,
E02003152,Plymouth 031,,,,,,,
E02003153,Plymouth 032,,,,,,,
E02003154,Torbay 001,,,,,,,
E02003155,Torbay 002,,,,,,,
E02003156,Torbay 003,,,,,,,
E02003157,Torbay 004,,,,,,,
E02003158,Torbay 005,,,,,,,
E02003159,Torbay 006,,,,,,,
E02003161,Torbay 008,,,,,,,
E02003163,Torbay 010,,,,,,,
E02003164,Torbay 011,,,,,,,
E02003165,Torbay 012,,,,,,,
E02003166,Torbay 013,,,,,,,
E02003167,Torbay 014,,,,,,,
E02003168,Torbay 015,,,,,,,
E02003169,Torbay 016,,,,,,,
E02003170,Torbay 017,,,,,,,
E02003171,Torbay 018,,,,,,,
E02004129,East Devon 001,91.55273438,103.3371831,150.9388396,107.3217267,135.9579122,123.7040528,170.8495346
E02004130,East Devon 002,#,#,28.14047726,33.70218502,56.0821042,44.76275739,39.16083916
E02004131,East Devon 003,#,#,#,#,#,#,#
E02004132,East Devon 004,40.47927461,32.34283404,24.12060302,40.14452027,56.01792574,47.85833932,35.78813425
E02004133,East Devon 005,37.67266639,24.76984684,24.47481134,36.41365917,56.30630631,51.60778087,90.03366476
E02004134,East Devon 006,47.72130756,33.48641408,76.49646204,75.51087829,67.36728645,36.5408039,41.20158813
E02004135,East Devon 007,75.68431232,79.26905586,74.62995978,65.88429071,81.98737394,98.17557065,110.1681084
E02004136,East Devon 008,#,#,20.84810074,20.79174983,#,24.83135372,28.90531445
E02004137,East Devon 009,37.47891811,#,49.88153136,81.19925047,131.2171957,131.4883226,112.6831101
E02004138,East Devon 010,#,#,#,#,#,#,#
E02004139,East Devon 011,#,#,#,#,25.00375056,24.69623629,24.49539487
E02004140,East Devon 012,#,#,#,#,#,31.8126869,37.90750569
E02004141,East Devon 013,33.93857119,39.72983711,28.23104285,33.59086329,50,66.2653929,65.94493598
E02004142,East Devon 014,113.0930962,112.2907309,101.2401924,70.43316396,50.20584396,50.69451485,86.92095306
E02004143,East Devon 015,#,#,#,#,#,#,#
E02004144,East Devon 016,#,#,24.69013876,#,#,#,33.67165328
E02004145,East Devon 017,#,#,#,#,#,#,#
E02004146,East Devon 018,#,#,#,#,27.44362622,#,#
E02004147,East Devon 019,29.3283801,33.65546421,42.6398825,32.91639236,32.99085682,23.569341,23.62055933
E02004148,East Devon 020,28.29387909,#,23.3961911,27.86550251,32.10861887,22.73967619,40.75533216
E02004149,Exeter 001,#,#,27.82995895,26.34351949,33.81701918,24.09783722,27.21006168
E02004150,Exeter 002,24.23067604,29.28686484,39.13511398,29.12197253,#,#,#
E02004151,Exeter 003,#,#,#,24.85913159,24.44091409,27.95973798,23.61832782
E02004152,Exeter 004,#,#,#,#,#,#,#
E02004153,Exeter 005,#,#,#,#,#,#,#
E02004154,Exeter 006,#,#,#,32.2827973,43.69761252,38.90747802,#
E02004155,Exeter 007,26.66192677,22.22222222,#,#,26.11079681,34.45750958,30.01071811
E02004156,Exeter 008,49.44845949,54.58912585,63.95679363,80.25122121,75.47687663,82.89674382,68.00518135
E02004157,Exeter 009,30.83723082,#,#,25.42717657,#,#,#
E02004158,Exeter 010,#,#,#,#,#,32.11948448,31.66059839
E02004159,Exeter 011,38.37887627,41.01875676,65.0500524,56.28451824,54.6522749,39.4788788,47.82095833
E02004160,Exeter 012,#,#,#,#,#,#,#
E02004161,Exeter 013,#,#,#,#,20.54316118,24.35756911,20.10858637
E02004162,Exeter 014,28.03214352,23.21693908,36.82393556,41.03031685,58.56119645,49.14004914,53.27887049
E02004163,Exeter 015,#,#,#,#,28.98550725,37.391914,41.11842105
E02004164,Mid Devon 001,56.06238214,45.80618893,60.77180188,30.15226896,45.0834043,45.02025912,60.12626516
E02004165,Mid Devon 002,25.0710346,24.75247525,24.72187886,33.02373581,24.65989889,24.56600066,#
E02004166,Mid Devon 003,#,#,#,25.53495736,#,#,#
E02004167,Mid Devon 004,#,#,#,32.17799025,45.58716265,45.19161244,26.88894864
E02004168,Mid Devon 005,#,#,#,#,#,#,32.80660506
E02004169,Mid Devon 006,41.87799544,41.95999814,32.63555411,27.98507463,51.22712243,55.99626692,55.99626692
E02004170,Mid Devon 007,#,22.06823498,#,25.57871851,20.91350176,24.65685872,20.42650543
E02004171,Mid Devon 008,48.64243389,52.93806247,56.98255457,39.34942288,30.47585877,47.57785467,42.95163646
E02004172,Mid Devon 009,43.5611217,32.5803649,37.98773539,37.8603494,37.63845575,63.89776358,68.77579092
E02004173,Mid Devon 010,55.44261689,36.75794891,41.09026161,54.5553737,49.89567268,54.46375891,54.43658138
E02004174,Mid Devon 011,#,#,#,#,#,#,#
E02004175,North Devon 001,#,#,#,#,#,30.4618009,42.90530187
E02004176,North Devon 002,40.99800867,41.31255902,47.54829123,59.88382538,90.25813828,133.4546557,109.7694841
E02004177,North Devon 003,33.27048908,44.45432318,66.58897952,44.35327383,33.24836529,#,27.68395991
E02004178,North Devon 004,36.57867463,42.55836576,67.19609041,67.5012273,73.97817644,68.08194591,68.08615994
E02004179,North Devon 005,#,#,32.51915017,32.34268876,50.35608949,39.57261575,46.67528364
E02004180,North Devon 006,56.679703,73.43388126,119.1354173,142.612664,148.9032701,137.2448104,136.7443451
E02004181,North Devon 007,#,#,#,28.60739215,#,#,#
E02004182,North Devon 008,#,#,32.38691569,27.00658961,27.04603235,27.11790867,32.599837
E02004183,North Devon 009,28.64836991,28.74389192,40.33419764,40.20446844,34.63803256,#,46.26951995
E02004184,North Devon 010,#,#,23.29735187,23.4375,#,#,#
E02004185,North Devon 011,59.33661663,64.4934334,57.97437533,45.9664445,68.91798759,97.94319295,92.5283368
E02004186,North Devon 012,32.5905406,32.43856946,#,28.08312605,27.93519036,51.83826461,31.96803197
E02004187,North Devon 013,54.27506603,53.85803023,60.66228947,49.59263195,52.91565245,45.67974982,59.59057768
E02004188,North Devon 014,89.65771847,84.53085376,126.1498029,99.08218607,144.8600548,102.2651736,81.19766557
E02004189,South Hams 001,66.17123078,57.14285714,90.62799872,87.10801394,86.94234636,69.82490063,90.65699659
E02004190,South Hams 002,76.88036561,38.31254523,38.12590019,42.26364059,80.1890774,84.18217022,88.16120907
E02004191,South Hams 003,20.53725458,28.73681186,20.4817303,20.37406789,#,20.12558364,36.27715748
E02004192,South Hams 004,32.34899949,46.39294827,69.55392748,64.63527239,50.41939772,36.60992129,59.66587112
E02004193,South Hams 005,25.08361204,14.01816755,14.000112,16.79308125,14.01580983,16.94819502,17.04254957
E02004194,South Hams 006,52.46589717,58.08734224,52.95488244,73.50624803,57.11022273,56.19986716,50.54589567
E02004195,South Hams 007,#,#,#,#,#,#,35.71853792
E02004196,South Hams 008,66.84491979,71.1136396,65.97238584,65.9941548,80.18867925,93.21836402,100.9637448
E02004197,South Hams 009,#,#,26.68232029,42.49216551,53.05884226,37.0998516,37.08216348
E02004198,South Hams 010,26.41449628,36.78015973,36.57644477,31.23535843,#,#,#
E02004199,South Hams 011,#,#,#,#,#,#,36.10977371
E02004200,South Hams 012,#,32.20404483,#,44.79140005,70.40450589,70.59427545,57.84061697
E02004201,Teignbridge 001,38.33131029,44.76848299,57.74042471,70.48119434,76.48183556,88.21676118,75.08447003
E02004202,Teignbridge 002,107.0159668,72.68684796,124.4742038,94.46114212,101.9324697,87.12608389,109.5912652
E02004203,Teignbridge 003,40.81156716,41.14258846,41.37115839,29.58754956,#,41.07740156,64.26359759
E02004204,Teignbridge 004,32.451143,61.23037026,57.1612304,56.60510861,42.23864836,42.16592291,56.1916134
E02004205,Teignbridge 005,#,#,#,#,#,#,22.74071042
E02004206,Teignbridge 006,#,#,#,#,34.78433711,34.74980143,39.72391876
E02004207,Teignbridge 007,71.57802004,49.9334221,66.80398597,49.99722238,49.43153732,48.78577624,64.48839209
E02004208,Teignbridge 008,#,#,#,#,#,20.59647388,28.588932
E02004209,Teignbridge 009,#,#,#,19.97682688,19.89099733,#,#
E02004210,Teignbridge 010,29.53337271,24.54349107,29.37576499,#,24.31315342,29.18146005,24.47021974
E02004211,Teignbridge 011,77.23598167,46.23921085,35.86249296,45.92305337,40.61944656,35.54201574,35.56910569
E02004212,Teignbridge 012,#,#,#,#,#,#,#
E02004213,Teignbridge 013,57.68010613,81.22534231,92.65157218,102.2146508,71.13153863,57.08651201,50.04504054
E02004214,Teignbridge 014,34.22899196,50.68994649,67.17420511,66.95307705,49.89466681,38.52080123,49.36375603
E02004215,Teignbridge 015,#,#,#,29.34616739,46.67716903,63.5544257,68.82312457
E02004216,Teignbridge 016,#,#,#,#,#,#,#
E02004217,Teignbridge 017,50.58382161,55.31444132,42.78807069,38.53234576,34.07155026,34.06139567,38.27507017
E02004218,Teignbridge 018,95.07962919,65.18518519,70.85498347,41.16678429,47.06159186,29.22951011,46.48730316
E02004219,Teignbridge 019,#,#,#,#,#,47.78972521,53.77307761
E02004220,Torridge 001,#,#,#,#,#,#,#
E02004221,Torridge 002,34.44910145,#,#,#,#,#,#
E02004222,Torridge 003,#,#,#,#,#,#,33.61344538
E02004223,Torridge 004,#,#,#,20.01944746,28.1698076,22.16557686,16.47310765
E02004224,Torridge 005,91.14304096,74.7983117,68.80127018,58.12417437,52.55136896,94.4386149,104.5970399
E02004225,Torridge 006,#,#,#,29.08837047,#,#,#
E02004226,Torridge 007,28.56462747,43.14270649,62.36806755,57.35863486,52.02913632,60.91846298,69.74473427
E02004227,Torridge 008,33.83331454,33.79139446,33.59086329,47.77655274,61.72615373,53.8155204,57.02676694
E02004228,Torridge 009,42.91845494,38.35091083,52.74767431,71.76690111,80.69875629,89.73269104,75.3828033
E02004229,West Devon 001,148.0707255,149.4321578,108.7729574,82.36553826,93.86988817,112.2334456,102.4146217
E02004230,West Devon 002,40.98920618,44.94988088,26.69870511,26.48772735,21.93463479,30.69636906,26.33195822
E02004231,West Devon 003,48.05382028,43.42162397,67.76707488,72.80493132,91.73426033,101.4492754,115.9812497
E02004232,West Devon 004,97.84735812,87.22869311,91.90707174,86.53160949,86.4128501,85.83690987,115.635998
E02004233,West Devon 005,27.54138092,24.55058785,29.85074627,35.18553604,21.56101768,18.83898054,24.23915971
E02004234,West Devon 006,#,#,27.32389748,71.08097764,120.2711568,131.9551353,99.21728586
E02004235,West Devon 007,36.85762426,31.56233561,31.52916448,31.5556958,36.91983122,58.01075836,84.20166298
E02006840,Torbay 019,,,,,,,
TOWN01,Ashburton-Buckfastleigh,50.58382161,55.31444132,42.78807069,38.53234576,34.07155026,34.06139567,38.27507017
TOWN02,Axminster,70.91695624,70.26913077,67.27913883,57.56919818,77.9137449,88.69078753,128.5781958
TOWN03,Barnstaple,23.99790018,28.36710014,38.00043216,43.15187227,40.1645258,37.10354858,34.79831783
TOWN04,Bideford-Northam,31.87613843,24.4789164,26.96871629,24.99152073,34.53986698,45.75893839,48.1472079
TOWN05,Braunton,19.42286349,19.08709167,37.74297037,32.20093383,40.27494362,37.60105283,45.57885141
TOWN06,Crediton,35.41646544,23.95056603,26.9264275,31.5318156,29.80158419,42.19673053,43.61302783
TOWN07,Cullompton,22.20281532,26.37981065,24.6576932,27.26789994,25.61183836,32.43273732,29.45012411
TOWN08,Dartmouth,18.44281191,18.49226407,15.46407695,#,#,18.74414246,37.52814611
TOWN09,Dawlish,11.36854551,#,13.66867141,15.85503964,24.55411951,26.31117348,30.28009084
TOWN10,Exeter (Wider),30.94067189,25.97597223,33.30981085,34.24250004,38.52932153,36.88727111,36.23353539
TOWN11,Exmouth,18.68072564,20.70979366,25.41610282,21.88632788,22.45615945,19.0074061,25.06554301
TOWN12,Great Torrington,18.99575761,25.28844634,34.63476071,34.53472309,34.30210802,37.11034142,39.91280587
TOWN13,Holsworthy,37.83817872,35.79399503,41.97536046,58.19874873,69.94877281,69.32126328,64.93242969
TOWN14,Honiton,36.60523089,36.68109456,54.90985632,47.36573636,76.18909408,68.78824083,83.23833306
TOWN15,Ilfracombe,26.21870143,30.01988818,43.189244,43.26398555,54.71491642,54.91072274,56.93571957
TOWN16,Ivybridge,47.271745,37.67460731,44.46936447,50.3890617,58.11081733,53.13393616,54.89531367
TOWN17,Kingsbridge,25.5257319,31.15568104,27.04686836,38.34208811,40.11461318,43.66480617,37.78932452
TOWN18,Lynton-Lynmouth,#,#,#,#,141.8439716,205.5921053,146.0463175
TOWN19,Moretonhampstead,#,#,#,#,#,47.12535344,78.24726135
TOWN20,Newton Abbot,36.31767799,37.74625804,43.89265112,41.75345306,37.61259974,37.27030406,42.17787817
TOWN21,Okehampton,83.66867206,90.76797601,76.83892478,67.17565141,68.05341551,79.01108704,79.69740288
TOWN22,Ottery St Mary,30.0036433,25.71520411,40.54976951,49.0154292,53.02901748,44.05563597,41.46624648
TOWN23,Seaton,19.26517132,16.54122901,13.79576746,33.04692664,32.94802449,30.08588152,#
TOWN24,Sidmouth,23.4791889,21.30288441,16.86980726,20.84897006,30.94250882,34.8046843,32.60249409
TOWN25,South Molton,60.38647343,65.17434136,89.76436853,74.27397192,93.58453392,68.52667646,73.16180954
TOWN26,Tavistock,32.32926802,26.65926132,36.56023576,48.73618218,56.38661315,63.04193948,69.71571481
TOWN27,Teignmouth,34.31708991,23.42891128,21.53973183,16.07745762,17.79011226,24.79851209,31.84713376
TOWN28,Tiverton,36.64575177,31.15403445,33.74448322,29.21103646,37.04553072,36.91463929,35.93496648
TOWN29,Totnes,37.92547644,39.60207832,47.51421467,45.73988202,42.24426573,45.14883547,62.19582355
DIV1,Alphington & Cowick ED,23.81576127,16.49776102,25.54100492,22.90321103,38.29260052,33.43810607,37.60313212
DIV2,Ashburton & Buckfastleigh ED,37.10280126,37.34129948,32.02476582,31.80577275,28.72737719,25.82244487,23.06982467
DIV3,Axminster ED,63.53607116,57.04669272,53.57092509,53.09338848,77.80371235,85.31718728,111.7227097
DIV4,Barnstaple North ED,12.28108958,17.10822172,26.82468847,29.19708029,26.79724232,21.96943807,19.58192588
DIV5,Barnstaple South ED,18.34285415,18.34958582,28.9161694,29.02144949,21.11152161,#,18.10376041
DIV6,Bickleigh & Wembury ED,44.59308807,39.12691093,70.52584067,76.85082401,82.46601831,59.32538562,70.35515281
DIV7,Bideford East ED,28.61900302,20.45512657,25.00562627,31.93632388,26.5738996,26.32208662,33.29924125
DIV8,Bideford West & Hartland ED,26.34005005,23.03844128,29.48885976,26.10029037,38.98255531,61.13846253,57.41443654
